freq_Hz,ell0_factor,ell0_m,E_J_J,Lambda_eV,Lambda_TeV
1000000.0,10.0,1.6162550000000002e-34,6.626070145940079e-28,4.1356676943898557e-07,4.1356676943898554e-19
1000000.0,16681.005372000593,2.696075833752282e-31,6.626070145940079e-28,1.150774102742876,1.1507741027428759e-12
1000000.0,27825594.022071257,4.497325546614278e-28,6.626070145940079e-28,3202097.2994036577,3.2020972994036576e-06
1000000.0,46415888336.127914,7.5019911602708425e-25,6.626070145940079e-28,8910025947237.732,8.910025947237733
1000000.0,77426368268112.78,1.2514075484517864e-21,6.626070145940079e-28,2.4792676473395708e+19,24792676.47339571
1000000.0,1.2915496650148827e+17,2.0874736038286294e-18,6.626070145940079e-28,6.898709502692634e+25,68987095026926.336
1000000.0,2.1544346900318955e+20,3.4821158399375015e-15,6.626070145940079e-28,1.919606898981327e+32,1.9196068989813267e+20
1000000.0,3.59381366380464e+23,5.8085193031925686e-12,6.626070145940079e-28,5.341420225302132e+38,5.341420225302132e+26
1000000.0,5.994842503189421e+26,9.689194169992418e-09,6.626070145940079e-28,1.4862819069053693e+45,1.4862819069053693e+33
1000000.0,1e+30,1.616255e-05,6.626070145940079e-28,4.135667694389856e+51,4.135667694389856e+39
20000000.0,10.0,1.6162550000000002e-34,1.325214029188016e-26,8.271335388779712e-06,8.271335388779712e-18
20000000.0,16681.005372000593,2.696075833752282e-31,1.325214029188016e-26,23.015482054857525,2.3015482054857524e-11
20000000.0,27825594.022071257,4.497325546614278e-28,1.325214029188016e-26,64041945.98807317,6.404194598807317e-05
20000000.0,46415888336.127914,7.5019911602708425e-25,1.325214029188016e-26,178200518944754.7,178.2005189447547
20000000.0,77426368268112.78,1.2514075484517864e-21,1.325214029188016e-26,4.958535294679143e+20,495853529.4679143
20000000.0,1.2915496650148827e+17,2.0874736038286294e-18,1.325214029188016e-26,1.3797419005385272e+27,1379741900538527.2
20000000.0,2.1544346900318955e+20,3.4821158399375015e-15,1.325214029188016e-26,3.8392137979626544e+33,3.839213797962654e+21
20000000.0,3.59381366380464e+23,5.8085193031925686e-12,1.325214029188016e-26,1.0682840450604267e+40,1.0682840450604267e+28
20000000.0,5.994842503189421e+26,9.689194169992418e-09,1.325214029188016e-26,2.9725638138107396e+46,2.9725638138107397e+34
20000000.0,1e+30,1.616255e-05,1.325214029188016e-26,8.271335388779715e+52,8.271335388779715e+40
100000000.0,10.0,1.6162550000000002e-34,6.626070145940079e-26,4.135667694389855e-05,4.1356676943898547e-17
100000000.0,16681.005372000593,2.696075833752282e-31,6.626070145940079e-26,115.0774102742876,1.1507741027428761e-10
100000000.0,27825594.022071257,4.497325546614278e-28,6.626070145940079e-26,320209729.94036573,0.00032020972994036576
100000000.0,46415888336.127914,7.5019911602708425e-25,6.626070145940079e-26,891002594723773.2,891.0025947237732
100000000.0,77426368268112.78,1.2514075484517864e-21,6.626070145940079e-26,2.4792676473395704e+21,2479267647.3395705
100000000.0,1.2915496650148827e+17,2.0874736038286294e-18,6.626070145940079e-26,6.898709502692634e+27,6898709502692634.0
100000000.0,2.1544346900318955e+20,3.4821158399375015e-15,6.626070145940079e-26,1.9196068989813268e+34,1.919606898981327e+22
100000000.0,3.59381366380464e+23,5.8085193031925686e-12,6.626070145940079e-26,5.341420225302133e+40,5.341420225302133e+28
100000000.0,5.994842503189421e+26,9.689194169992418e-09,6.626070145940079e-26,1.4862819069053694e+47,1.4862819069053694e+35
100000000.0,1e+30,1.616255e-05,6.626070145940079e-26,4.135667694389856e+53,4.135667694389856e+41
1000000000.0,10.0,1.6162550000000002e-34,6.62607014594008e-25,0.0004135667694389856,4.135667694389856e-16
1000000000.0,16681.005372000593,2.696075833752282e-31,6.62607014594008e-25,1150.774102742876,1.1507741027428761e-09
1000000000.0,27825594.022071257,4.497325546614278e-28,6.62607014594008e-25,3202097299.403658,0.003202097299403658
1000000000.0,46415888336.127914,7.5019911602708425e-25,6.62607014594008e-25,8910025947237733.0,8910.025947237733
1000000000.0,77426368268112.78,1.2514075484517864e-21,6.62607014594008e-25,2.479267647339571e+22,24792676473.39571
1000000000.0,1.2915496650148827e+17,2.0874736038286294e-18,6.62607014594008e-25,6.898709502692635e+28,6.898709502692635e+16
1000000000.0,2.1544346900318955e+20,3.4821158399375015e-15,6.62607014594008e-25,1.9196068989813272e+35,1.919606898981327e+23
1000000000.0,3.59381366380464e+23,5.8085193031925686e-12,6.62607014594008e-25,5.341420225302133e+41,5.341420225302133e+29
1000000000.0,5.994842503189421e+26,9.689194169992418e-09,6.62607014594008e-25,1.4862819069053695e+48,1.4862819069053695e+36
1000000000.0,1e+30,1.616255e-05,6.62607014594008e-25,4.135667694389856e+54,4.135667694389856e+42
