index,lambda
0,2.431453304338374e-16
1,0.017110277252378667
2,0.01711027725237979
3,0.0342205545047582
4,0.06814834742186199
5,0.06814834742186425
6,0.08525862467424264
7,0.08525862467424376
8,0.13629669484372708
9,0.1522409349774259
10,0.1522409349774259
11,0.16935121222980543
12,0.16935121222980543
13,0.22038928239928984
14,0.22038928239928984
15,0.26794919243112214
16,0.26794919243112214
17,0.2850594696835008
18,0.28505946968350193
19,0.3044818699548527
20,0.3360975398529863
21,0.3360975398529875
22,0.41329331941752856
23,0.41329331941752967
24,0.4201901274085489
25,0.42019012740855
26,0.430403596669908
27,0.43040359666991035
28,0.48144166683939227
29,0.4814416668393935
30,0.5358983848622455
31,0.5655342543949562
32,0.5655342543949562
33,0.5857864376269046
34,0.5857864376269059
35,0.602896714879283
36,0.6028967148792841
37,0.6539347850487688
38,0.6539347850487699
39,0.6812425118486517
40,0.6812425118486528
41,0.7380273726043305
42,0.7380273726043317
43,0.782477141982559
44,0.782477141982559
45,0.7995874192349383
46,0.7995874192349383
47,0.8265866388350601
48,0.850625489404421
49,0.8506254894044222
50,0.8537356300580267
51,0.8537356300580289
52,0.9347180769599849
53,0.934718076959986
54,0.9990797570444341
55,0.9990797570444352
56,0.999999999999999
57,1.0
58,1.0171102772523795
59,1.0171102772523795
60,1.0504263344136815
61,1.0504263344136815
62,1.0681483474218632
63,1.0681483474218632
64,1.152240934977426
65,1.1522409349774274
66,1.1715728752538102
67,1.1957704614000892
68,1.1957704614000892
69,1.2346331352698203
70,1.2346331352698203
71,1.2517434125221993
72,1.2517434125222007
73,1.267949192431122
74,1.2679491924311233
75,1.302781482691684
76,1.302781482691684
77,1.3682635796094629
78,1.3682635796094642
79,1.3868740702472468
80,1.3868740702472468
81,1.4132933194175297
82,1.4132933194175297
83,1.4823619097949585
84,1.4823619097949594
85,1.4994721870473366
86,1.499472187047338
87,1.5025823277009422
88,1.5025823277009436
89,1.5505102572168217
90,1.5505102572168217
91,1.564954283965117
92,1.585786437626905
93,1.585786437626905
94,1.6346028447723846
95,1.6346028447723846
96,1.6479264546873496
97,1.6479264546873504
98,1.738947615559896
99,1.7389476155598973
100,1.7503111022260818
101,1.7503111022260818
102,1.7560578928122763
103,1.7560578928122763
104,1.7824771419825582
105,1.7824771419825596
106,1.80709596298176
107,1.807095962981761
108,1.820419572896725
109,1.8204195728967263
110,1.891188550537323
111,1.891188550537323
112,1.8956552292124873
113,1.8956552292124873
114,1.9999999999999996
115,1.9999999999999996
116,2.0000000000000004
117,2.0068968079910183
118,2.0068968079910183
119,2.017110277252378
120,2.017110277252378
121,2.0171102772523795
122,2.0171102772523817
123,2.0681483474218645
124,2.0681483474218645
125,2.0681483474218645
126,2.0681483474218645
127,2.1522409349774256
128,2.152240934977427
129,2.152240934977428
130,2.152240934977429
131,2.2346331352698203
132,2.234633135269821
133,2.2610523844401036
134,2.261052384440105
135,2.264839051777517
136,2.264839051777517
137,2.2679491924311224
138,2.2679491924311224
139,2.278162661692482
140,2.278162661692482
141,2.3247340531868015
142,2.3247340531868015
143,2.329200731861966
