T E_avg Heat_Capacity
0.100000 -12.247449 0.002700
0.124500 -12.247268 0.014183
0.149000 -12.246630 0.040626
0.173500 -12.245146 0.082989
0.198000 -12.242460 0.138068
0.222500 -12.238316 0.201132
0.247000 -12.232576 0.267717
0.271500 -12.225197 0.334418
0.296000 -12.216206 0.399094
0.320500 -12.205666 0.460787
0.345000 -12.193652 0.519524
0.369500 -12.180228 0.576051
0.394000 -12.165434 0.631571
0.418500 -12.149277 0.687509
0.443000 -12.131730 0.745329
0.467500 -12.112730 0.806402
0.492000 -12.092180 0.871918
0.516500 -12.069961 0.942847
0.541000 -12.045931 1.019915
0.565500 -12.019931 1.103605
0.590000 -11.991798 1.194173
0.614500 -11.961360 1.291658
0.639000 -11.928451 1.395907
0.663500 -11.892908 1.506594
0.688000 -11.854580 1.623242
0.712500 -11.813326 1.745246
0.737000 -11.769025 1.871887
0.761500 -11.721572 2.002359
0.786000 -11.670885 2.135785
0.810500 -11.616902 2.271239
0.835000 -11.559585 2.407761
0.859500 -11.498921 2.544382
0.884000 -11.434918 2.680135
0.908500 -11.367609 2.814074
0.933000 -11.297050 2.945291
0.957500 -11.223319 3.072926
0.982000 -11.146513 3.196182
1.006500 -11.066748 3.314331
1.031000 -10.984158 3.426725
1.055500 -10.898890 3.532799
1.080000 -10.811106 3.632077
1.104500 -10.720977 3.724170
1.129000 -10.628683 3.808778
1.153500 -10.534410 3.885688
1.178000 -10.438348 3.954770
1.202500 -10.340690 4.015969
1.227000 -10.241630 4.069307
1.251500 -10.141358 4.114868
1.276000 -10.040064 4.152796
1.300500 -9.937932 4.183289
1.325000 -9.835141 4.206586
1.349500 -9.731865 4.222965
1.374000 -9.628270 4.232734
1.398500 -9.524513 4.236226
1.423000 -9.420743 4.233789
1.447500 -9.317102 4.225785
1.472000 -9.213722 4.212583
1.496500 -9.110725 4.194552
1.521000 -9.008226 4.172061
1.545500 -8.906328 4.145475
1.570000 -8.805128 4.115147
1.594500 -8.704713 4.081423
1.619000 -8.605163 4.044636
1.643500 -8.506549 4.005105
1.668000 -8.408933 3.963132
1.692500 -8.312373 3.919005
1.717000 -8.216917 3.872997
1.741500 -8.122609 3.825361
1.766000 -8.029486 3.776337
1.790500 -7.937578 3.726145
1.815000 -7.846912 3.674993
1.839500 -7.757510 3.623070
1.864000 -7.669387 3.570552
1.888500 -7.582556 3.517598
1.913000 -7.497027 3.464357
1.937500 -7.412804 3.410962
1.962000 -7.329890 3.357534
1.986500 -7.248284 3.304183
2.011000 -7.167984 3.251009
2.035500 -7.088983 3.198100
2.060000 -7.011274 3.145535
2.084500 -6.934848 3.093384
2.109000 -6.859694 3.041711
2.133500 -6.785800 2.990569
2.158000 -6.713152 2.940007
2.182500 -6.641735 2.890066
2.207000 -6.571533 2.840783
2.231500 -6.502531 2.792186
2.256000 -6.434710 2.744303
2.280500 -6.368054 2.697153
2.305000 -6.302543 2.650755
2.329500 -6.238160 2.605122
2.354000 -6.174886 2.560263
2.378500 -6.112701 2.516187
2.403000 -6.051587 2.472898
2.427500 -5.991523 2.430398
2.452000 -5.932491 2.388688
2.476500 -5.874471 2.347765
2.501000 -5.817444 2.307627
2.525500 -5.761391 2.268269
2.550000 -5.706292 2.229684
2.574500 -5.652130 2.191865
2.599000 -5.598885 2.154805
2.623500 -5.546538 2.118493
2.648000 -5.495072 2.082920
2.672500 -5.444469 2.048075
2.697000 -5.394711 2.013948
2.721500 -5.345780 1.980526
2.746000 -5.297659 1.947799
2.770500 -5.250332 1.915753
2.795000 -5.203782 1.884377
2.819500 -5.157992 1.853658
2.844000 -5.112948 1.823583
2.868500 -5.068632 1.794139
2.893000 -5.025030 1.765315
2.917500 -4.982126 1.737096
2.942000 -4.939907 1.709471
2.966500 -4.898358 1.682427
2.991000 -4.857464 1.655950
3.015500 -4.817211 1.630029
3.040000 -4.777588 1.604652
3.064500 -4.738579 1.579806
3.089000 -4.700173 1.555479
3.113500 -4.662357 1.531660
3.138000 -4.625118 1.508336
3.162500 -4.588444 1.485497
3.187000 -4.552324 1.463131
3.211500 -4.516747 1.441227
3.236000 -4.481701 1.419774
3.260500 -4.447174 1.398762
3.285000 -4.413158 1.378180
3.309500 -4.379640 1.358018
3.334000 -4.346611 1.338266
3.358500 -4.314062 1.318915
3.383000 -4.281981 1.299955
3.407500 -4.250361 1.281376
3.432000 -4.219191 1.263170
3.456500 -4.188463 1.245327
3.481000 -4.158167 1.227839
3.505500 -4.128296 1.210698
3.530000 -4.098840 1.193895
3.554500 -4.069792 1.177422
3.579000 -4.041144 1.161272
3.603500 -4.012887 1.145436
3.628000 -3.985015 1.129907
3.652500 -3.957519 1.114679
3.677000 -3.930393 1.099743
3.701500 -3.903630 1.085093
3.726000 -3.877221 1.070723
3.750500 -3.851162 1.056625
3.775000 -3.825445 1.042793
3.799500 -3.800063 1.029221
3.824000 -3.775011 1.015904
3.848500 -3.750282 1.002834
3.873000 -3.725870 0.990007
3.897500 -3.701769 0.977416
3.922000 -3.677975 0.965057
3.946500 -3.654480 0.952923
3.971000 -3.631280 0.941010
3.995500 -3.608369 0.929313
4.020000 -3.585742 0.917826
4.044500 -3.563393 0.906546
4.069000 -3.541319 0.895467
4.093500 -3.519514 0.884584
4.118000 -3.497973 0.873894
4.142500 -3.476692 0.863392
4.167000 -3.455665 0.853074
4.191500 -3.434889 0.842935
4.216000 -3.414360 0.832972
4.240500 -3.394072 0.823181
4.265000 -3.374023 0.813558
4.289500 -3.354207 0.804100
4.314000 -3.334621 0.794802
4.338500 -3.315260 0.785662
4.363000 -3.296122 0.776675
4.387500 -3.277202 0.767839
4.412000 -3.258497 0.759151
4.436500 -3.240002 0.750606
4.461000 -3.221716 0.742203
4.485500 -3.203633 0.733938
4.510000 -3.185752 0.725808
4.534500 -3.168068 0.717810
4.559000 -3.150578 0.709942
4.583500 -3.133279 0.702200
4.608000 -3.116169 0.694583
4.632500 -3.099244 0.687088
4.657000 -3.082501 0.679712
4.681500 -3.065937 0.672452
4.706000 -3.049550 0.665306
4.730500 -3.033336 0.658273
4.755000 -3.017293 0.651349
4.779500 -3.001419 0.644533
4.804000 -2.985710 0.637822
4.828500 -2.970165 0.631214
4.853000 -2.954780 0.624707
4.877500 -2.939553 0.618300
4.902000 -2.924483 0.611989
4.926500 -2.909565 0.605774
4.951000 -2.894799 0.599652
4.975500 -2.880182 0.593621
5.000000 -2.865711 0.587681
# Critical temperature Tc = 1.398500, with C_max = 4.236226
